cbsa_fips,name,total_bridges_2005,bad_bridges_2005,pct_deficient
10180,"Abilene, TX",719,0,0
10420,"Akron, OH",819,0,0
10500,"Albany, GA",331,46,0.13897280966767372
10580,"Albany-Schenectady-Troy, NY",1105,0,0
10740,"Albuquerque, NM",794,0,0
10780,"Alexandria, LA",831,0,0
10900,"Allentown-Bethlehem-Easton, PA-NJ",1067,0,0
11020,"Altoona, PA",328,0,0
11100,"Amarillo, TX",351,1,0.002849002849002849
11180,"Ames, IA",296,0,0
11260,"Anchorage, AK",195,0,0
11460,"Ann Arbor, MI",251,0,0
11500,"Anniston-Oxford-Jacksonville, AL",352,0,0
11540,"Appleton, WI",324,0,0
11700,"Asheville, NC",1537,0,0
12020,"Athens-Clarke County, GA",277,21,0.07581227436823104
12060,"Atlanta-Sandy Springs-Roswell, GA",4140,45,0.010869565217391304
12100,"Atlantic City-Hammonton, NJ",193,0,0
12220,"Auburn-Opelika, AL",210,0,0
12260,"Augusta-Richmond County, GA-SC",685,5,0.0072992700729927005
12420,"Austin-Round Rock, TX",2007,0,0
12540,"Bakersfield, CA",602,0,0
12580,"Baltimore-Columbia-Towson, MD",2288,0,0
12620,"Bangor, ME",282,0,0
12700,"Barnstable Town, MA",99,52,0.5252525252525253
12940,"Baton Rouge, LA",1657,168,0.10138805069402534
12980,"Battle Creek, MI",209,0,0
13020,"Bay City, MI",158,0,0
13140,"Beaumont-Port Arthur, TX",909,35,0.03850385038503851
13380,"Bellingham, WA",315,0,0
13460,"Bend-Redmond, OR",128,0,0
13740,"Billings, MT",383,29,0.07571801566579635
13780,"Binghamton, NY",676,0,0
13820,"Birmingham-Hoover, AL",2241,0,0
13900,"Bismarck, ND",457,2,0.00437636761487965
13980,"Blacksburg-Christiansburg-Radford, VA",507,28,0.055226824457593686
14010,"Bloomington, IL",788,0,0
14020,"Bloomington, IN",325,52,0.16
14260,"Boise City, ID",690,38,0.05507246376811594
14460,"Boston-Cambridge-Newton, MA-NH",2683,0,0
14500,"Boulder, CO",263,0,0
14540,"Bowling Green, KY",304,20,0.06578947368421052
14740,"Bremerton-Silverdale, WA",89,0,0
14860,"Bridgeport-Stamford-Norwalk, CT",823,0,0
15180,"Brownsville-Harlingen, TX",317,0,0
15260,"Brunswick, GA",192,14,0.07291666666666667
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",1163,0,0
15500,"Burlington, NC",240,0,0
15540,"Burlington-South Burlington, VT",323,4,0.01238390092879257
15940,"Canton-Massillon, OH",602,0,0
15980,"Cape Coral-Fort Myers, FL",346,0,0
16180,"Carson City, NV",0,0,0
16220,"Casper, WY",138,0,0
16300,"Cedar Rapids, IA",1078,0,0
16580,"Champaign-Urbana, IL",1239,0,0
16620,"Charleston, WV",761,0,0
16700,"Charleston-North Charleston, SC",686,0,0
16740,"Charlotte-Concord-Gastonia, NC-SC",2697,0,0
16820,"Charlottesville, VA",646,25,0.03869969040247678
16860,"Chattanooga, TN-GA",1020,0,0
16940,"Cheyenne, WY",237,0,0
16980,"Chicago-Naperville-Elgin, IL-IN-WI",4924,0,0
17020,"Chico, CA",427,0,0
17140,"Cincinnati, OH-KY-IN",3015,18,0.005970149253731343
17300,"Clarksville, TN-KY",486,0,0
17420,"Cleveland, TN",329,0,0
17460,"Cleveland-Elyria, OH",1881,0,0
17660,"Coeur d'Alene, ID",124,0,0
17780,"College Station-Bryan, TX",514,0,0
17820,"Colorado Springs, CO",607,0,0
17860,"Columbia, MO",323,0,0
17900,"Columbia, SC",1095,33,0.030136986301369864
17980,"Columbus, GA-AL",569,23,0.040421792618629174
18020,"Columbus, IN",265,0,0
18140,"Columbus, OH",3299,0,0
18580,"Corpus Christi, TX",678,0,0
18700,"Corvallis, OR",169,0,0
18880,"Crestview-Fort Walton Beach-Destin, FL",340,0,0
19060,"Cumberland, MD-WV",292,0,0
19100,"Dallas-Fort Worth-Arlington, TX",8475,0,0
19140,"Dalton, GA",213,0,0
19180,"Danville, IL",481,0,0
19340,"Davenport-Moline-Rock Island, IA-IL",1034,31,0.029980657640232108
19380,"Dayton, OH",1348,0,0
19460,"Decatur, AL",463,67,0.1447084233261339
19500,"Decatur, IL",343,0,0
19660,"Deltona-Daytona Beach-Ormond Beach, FL",301,0,0
19740,"Denver-Aurora-Lakewood, CO",2093,4,0.0019111323459149545
19780,"Des Moines-West Des Moines, IA",1463,80,0.05468215994531784
19820,"Detroit-Warren-Dearborn, MI",2479,0,0
20020,"Dothan, AL",580,57,0.09827586206896552
20100,"Dover, DE",194,0,0
20220,"Dubuque, IA",323,0,0
20260,"Duluth, MN-WI",1330,0,0
20500,"Durham-Chapel Hill, NC",807,0,0
20740,"Eau Claire, WI",575,0,0
20940,"El Centro, CA",407,0,0
21060,"Elizabethtown-Fort Knox, KY",275,0,0
21140,"Elkhart-Goshen, IN",263,0,0
21300,"Elmira, NY",246,0,0
21340,"El Paso, TX",747,0,0
21500,"Erie, PA",425,0,0
21660,"Eugene, OR",864,0,0
21780,"Evansville, IN-KY",844,0,0
21820,"Fairbanks, AK",77,0,0
22020,"Fargo, ND-MN",787,0,0
22140,"Farmington, NM",167,0,0
22180,"Fayetteville, NC",305,0,0
22220,"Fayetteville-Springdale-Rogers, AR-MO",983,0,0
22380,"Flagstaff, AZ",387,0,0
22420,"Flint, MI",370,0,0
22500,"Florence, SC",444,0,0
22520,"Florence-Muscle Shoals, AL",404,0,0
22540,"Fond du Lac, WI",216,0,0
22660,"Fort Collins, CO",487,0,0
22900,"Fort Smith, AR-OK",1231,0,0
23060,"Fort Wayne, IN",793,26,0.03278688524590164
23420,"Fresno, CA",838,0,0
23460,"Gadsden, AL",236,0,0
23540,"Gainesville, FL",116,3,0.02586206896551724
23580,"Gainesville, GA",146,0,0
24020,"Glens Falls, NY",317,0,0
24140,"Goldsboro, NC",168,0,0
24220,"Grand Forks, ND-MN",800,0,0
24300,"Grand Junction, CO",292,0,0
24340,"Grand Rapids-Wyoming, MI",913,12,0.013143483023001095
24500,"Great Falls, MT",211,0,0
24540,"Greeley, CO",603,0,0
24580,"Green Bay, WI",646,9,0.01393188854489164
24660,"Greensboro-High Point, NC",1203,0,0
24780,"Greenville, NC",213,0,0
24860,"Greenville-Anderson-Mauldin, SC",1590,0,0
25060,"Gulfport-Biloxi-Pascagoula, MS",607,0,0
25180,"Hagerstown-Martinsburg, MD-WV",382,0,0
25260,"Hanford-Corcoran, CA",160,0,0
25420,"Harrisburg-Carlisle, PA",959,0,0
25500,"Harrisonburg, VA",336,0,0
25540,"Hartford-West Hartford-East Hartford, CT",1372,0,0
25620,"Hattiesburg, MS",593,0,0
25860,"Hickory-Lenoir-Morganton, NC",788,0,0
25980,"Hinesville, GA",105,0,0
26300,"Hot Springs, AR",273,0,0
26380,"Houma-Thibodaux, LA",332,0,0
26420,"Houston-The Woodlands-Sugar Land, TX",5746,0,0
26580,"Huntington-Ashland, WV-KY-OH",1068,0,0
26620,"Huntsville, AL",922,0,0
26820,"Idaho Falls, ID",353,0,0
26900,"Indianapolis-Carmel-Anderson, IN",3372,52,0.01542111506524318
26980,"Iowa City, IA",582,0,0
27060,"Ithaca, NY",195,0,0
27100,"Jackson, MI",156,0,0
27140,"Jackson, MS",2005,0,0
27180,"Jackson, TN",742,21,0.02830188679245283
27260,"Jacksonville, FL",1039,16,0.015399422521655439
27340,"Jacksonville, NC",129,0,0
27500,"Janesville-Beloit, WI",279,0,0
27620,"Jefferson City, MO",705,29,0.04113475177304964
27740,"Johnson City, TN",648,0,0
27780,"Johnstown, PA",281,0,0
27860,"Jonesboro, AR",607,0,0
27900,"Joplin, MO",706,0,0
28020,"Kalamazoo-Portage, MI",259,0,0
28100,"Kankakee, IL",342,0,0
28140,"Kansas City, MO-KS",4697,0,0
28420,"Kennewick-Richland, WA",302,0,0
28660,"Killeen-Temple, TX",812,0,0
28700,"Kingsport-Bristol-Bristol, TN-VA",921,0,0
28740,"Kingston, NY",372,0,0
28940,"Knoxville, TN",1561,0,0
29020,"Kokomo, IN",154,0,0
29100,"La Crosse-Onalaska, WI-MN",477,0,0
29180,"Lafayette, LA",1187,75,0.06318449873631002
29200,"Lafayette-West Lafayette, IN",565,0,0
29340,"Lake Charles, LA",531,13,0.02448210922787194
29460,"Lakeland-Winter Haven, FL",324,0,0
29540,"Lancaster, PA",746,0,0
29620,"Lansing-East Lansing, MI",654,0,0
29700,"Laredo, TX",299,0,0
29740,"Las Cruces, NM",216,0,0
29820,"Las Vegas-Henderson-Paradise, NV",798,0,0
29940,"Lawrence, KS",256,0,0
30020,"Lawton, OK",775,0,0
30140,"Lebanon, PA",208,0,0
30300,"Lewiston, ID-WA",93,0,0
30340,"Lewiston-Auburn, ME",120,0,0
30460,"Lexington-Fayette, KY",701,0,0
30620,"Lima, OH",387,0,0
30700,"Lincoln, NE",826,0,0
30780,"Little Rock-North Little Rock-Conway, AR",1487,52,0.03496973772696705
30860,"Logan, UT-ID",109,7,0.06422018348623854
30980,"Longview, TX",603,0,0
31020,"Longview, WA",145,0,0
31080,"Los Angeles-Long Beach-Anaheim, CA",4525,0,0
31140,"Louisville/Jefferson County, KY-IN",1864,37,0.01984978540772532
31180,"Lubbock, TX",212,2,0.009433962264150943
31340,"Lynchburg, VA",665,0,0
31420,"Macon-Bibb County, GA",441,11,0.024943310657596373
31460,"Madera, CA",225,0,0
31540,"Madison, WI",1138,0,0
31700,"Manchester-Nashua, NH",541,0,0
31900,"Mansfield, OH",346,0,0
32580,"McAllen-Edinburg-Mission, TX",373,0,0
32780,"Medford, OR",336,0,0
32820,"Memphis, TN-MS-AR",2516,6,0.0023847376788553257
32900,"Merced, CA",481,0,0
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",2210,0,0
33140,"Michigan City-La Porte, IN",223,0,0
33260,"Midland, TX",207,13,0.06280193236714976
33340,"Milwaukee-Waukesha-West Allis, WI",1479,0,0
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",3626,0,0
33540,"Missoula, MT",180,0,0
33660,"Mobile, AL",566,0,0
33700,"Modesto, CA",378,0,0
33740,"Monroe, LA",474,37,0.07805907172995781
33780,"Monroe, MI",300,0,0
33860,"Montgomery, AL",1045,0,0
34060,"Morgantown, WV",365,0,0
34100,"Morristown, TN",237,0,0
34580,"Mount Vernon-Anacortes, WA",215,0,0
34620,"Muncie, IN",276,0,0
34740,"Muskegon, MI",138,0,0
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",526,0,0
34900,"Napa, CA",152,0,0
34940,"Naples-Immokalee-Marco Island, FL",343,0,0
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",4211,10,0.0023747328425552127
35300,"New Haven-Milford, CT",863,0,0
35380,"New Orleans-Metairie, LA",1262,24,0.01901743264659271
35620,"New York-Newark-Jersey City, NY-NJ-PA",8724,0,0
35660,"Niles-Benton Harbor, MI",267,0,0
35840,"North Port-Sarasota-Bradenton, FL",463,0,0
35980,"Norwich-New London, CT",404,0,0
36100,"Ocala, FL",59,0,0
36140,"Ocean City, NJ",69,0,0
36220,"Odessa, TX",135,0,0
36260,"Ogden-Clearfield, UT",460,0,0
36420,"Oklahoma City, OK",3372,0,0
36500,"Olympia-Tumwater, WA",186,0,0
36540,"Omaha-Council Bluffs, NE-IA",2579,0,0
36740,"Orlando-Kissimmee-Sanford, FL",1079,0,0
36780,"Oshkosh-Neenah, WI",242,0,0
36980,"Owensboro, KY",402,0,0
37100,"Oxnard-Thousand Oaks-Ventura, CA",481,0,0
37340,"Palm Bay-Melbourne-Titusville, FL",229,0,0
37460,"Panama City, FL",175,0,0
37620,"Parkersburg-Vienna, WV",199,0,0
37860,"Pensacola-Ferry Pass-Brent, FL",416,0,0
37900,"Peoria, IL",1162,13,0.011187607573149742
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",4537,0,0
38060,"Phoenix-Mesa-Scottsdale, AZ",2721,0,0
38220,"Pine Bluff, AR",531,41,0.07721280602636535
38300,"Pittsburgh, PA",3733,0,0
38340,"Pittsfield, MA",430,0,0
38540,"Pocatello, ID",114,0,0
38860,"Portland-South Portland, ME",601,0,0
38900,"Portland-Vancouver-Hillsboro, OR-WA",1617,0,0
38940,"Port St. Lucie, FL",269,0,0
39140,"Prescott, AZ",439,0,0
39300,"Providence-Warwick, RI-MA",1132,5,0.00441696113074205
39340,"Provo-Orem, UT",299,0,0
39380,"Pueblo, CO",281,0,0
39460,"Punta Gorda, FL",176,0,0
39540,"Racine, WI",113,0,0
39580,"Raleigh, NC",997,0,0
39660,"Rapid City, SD",630,18,0.02857142857142857
39740,"Reading, PA",635,0,0
39820,"Redding, CA",471,0,0
39900,"Reno, NV",286,2,0.006993006993006993
40060,"Richmond, VA",1881,7,0.003721424774056353
40140,"Riverside-San Bernardino-Ontario, CA",2371,0,0
40220,"Roanoke, VA",729,20,0.027434842249657063
40340,"Rochester, MN",1601,0,0
40380,"Rochester, NY",1238,0,0
40420,"Rockford, IL",558,0,0
40580,"Rocky Mount, NC",420,0,0
40660,"Rome, GA",176,0,0
40900,"Sacramento--Roseville--Arden-Arcade, CA",1348,0,0
40980,"Saginaw, MI",318,0,0
41060,"St. Cloud, MN",465,0,0
41100,"St. George, UT",117,0,0
41140,"St. Joseph, MO-KS",821,0,0
41180,"St. Louis, MO-IL",4215,31,0.007354685646500593
41420,"Salem, OR",495,0,0
41500,"Salinas, CA",355,0,0
41540,"Salisbury, MD-DE",394,10,0.025380710659898477
41620,"Salt Lake City, UT",585,0,0
41660,"San Angelo, TX",340,0,0
41700,"San Antonio-New Braunfels, TX",3137,31,0.00988205291679949
41740,"San Diego-Carlsbad, CA",1380,0,0
41860,"San Francisco-Oakland-Hayward, CA",1770,0,0
41940,"San Jose-Sunnyvale-Santa Clara, CA",987,0,0
42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",366,0,0
42100,"Santa Cruz-Watsonville, CA",181,0,0
42140,"Santa Fe, NM",223,0,0
42200,"Santa Maria-Santa Barbara, CA",398,0,0
42220,"Santa Rosa, CA",586,0,0
42340,"Savannah, GA",351,0,0
42540,"Scranton--Wilkes-Barre--Hazleton, PA",918,0,0
42660,"Seattle-Tacoma-Bellevue, WA",2001,0,0
42680,"Sebastian-Vero Beach, FL",119,0,0
43100,"Sheboygan, WI",239,0,0
43300,"Sherman-Denison, TX",505,0,0
43340,"Shreveport-Bossier City, LA",1339,0,0
43580,"Sioux City, IA-NE-SD",1435,240,0.1672473867595819
43620,"Sioux Falls, SD",841,56,0.06658739595719382
43780,"South Bend-Mishawaka, IN-MI",233,0,0
43900,"Spartanburg, SC",755,0,0
44060,"Spokane-Spokane Valley, WA",389,0,0
44100,"Springfield, IL",534,0,0
44140,"Springfield, MA",676,0,0
44180,"Springfield, MO",957,27,0.02821316614420063
44220,"Springfield, OH",341,0,0
44300,"State College, PA",331,0,0
44700,"Stockton-Lodi, CA",633,0,0
44940,"Sumter, SC",168,0,0
45060,"Syracuse, NY",881,0,0
45220,"Tallahassee, FL",400,18,0.045
45300,"Tampa-St. Petersburg-Clearwater, FL",1296,0,0
45460,"Terre Haute, IN",817,0,0
45500,"Texarkana, TX-AR",589,0,0
45780,"Toledo, OH",1182,0,0
45820,"Topeka, KS",1531,0,0
45940,"Trenton, NJ",363,0,0
46060,"Tucson, AZ",1035,0,0
46140,"Tulsa, OK",2822,0,0
46220,"Tuscaloosa, AL",888,34,0.038288288288288286
46340,"Tyler, TX",337,0,0
46520,"Urban Honolulu, HI",650,0,0
46540,"Utica-Rome, NY",730,0,0
46660,"Valdosta, GA",299,12,0.04013377926421405
46700,"Vallejo-Fairfield, CA",336,0,0
47020,"Victoria, TX",419,16,0.03818615751789976
47220,"Vineland-Bridgeton, NJ",95,0,0
47260,"Virginia Beach-Norfolk-Newport News, VA-NC",1113,21,0.018867924528301886
47300,"Visalia-Porterville, CA",593,0,0
47380,"Waco, TX",373,0,0
47580,"Warner Robins, GA",188,0,0
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",3913,52,0.013289036544850499
47940,"Waterloo-Cedar Falls, IA",1024,0,0
48140,"Wausau, WI",509,0,0
48260,"Weirton-Steubenville, WV-OH",344,0,0
48300,"Wenatchee, WA",155,0,0
48540,"Wheeling, WV-OH",563,0,0
48620,"Wichita, KS",3289,0,0
48660,"Wichita Falls, TX",627,12,0.019138755980861243
48700,"Williamsport, PA",460,0,0
48900,"Wilmington, NC",192,0,0
49020,"Winchester, VA-WV",252,0,0
49180,"Winston-Salem, NC",1171,0,0
49340,"Worcester, MA-CT",1240,0,0
49420,"Yakima, WA",548,0,0
49620,"York-Hanover, PA",532,0,0
49660,"Youngstown-Warren-Boardman, OH-PA",1216,0,0
49700,"Yuba City, CA",231,0,0
49740,"Yuma, AZ",255,0,0
