cbsa_fips,cbsa,lfpr,pop,lf,emp,unemp
10180,"Abilene, TX",0.49813698596052525,160761,80081,76705,3376
10420,"Akron, OH",0.5416769869807458,702498,380527,358106,22421
10500,"Albany, GA",0.4739046186402866,156886,74349,70122,4227
10540,"Albany, OR",0.48038508489623793,108132,51945,48046,3899
10580,"Albany-Schenectady-Troy, NY",0.5316064516431002,854604,454313,436271,18042
10740,"Albuquerque, NM",0.4869810549304491,809551,394236,375221,19015
10780,"Alexandria, LA",0.4581018049077266,147930,67767,63582,4185
10900,"Allentown-Bethlehem-Easton, PA-NJ",0.5170627797567211,787738,407310,387428,19882
11020,"Altoona, PA",0.5112128146453089,126730,64786,61435,3351
11100,"Amarillo, TX",0.5307762709044014,240380,127588,122520,5068
11180,"Ames, IA",0.5661165001689108,82884,46922,45500,1422
11260,"Anchorage, AK",0.5293656651553278,350903,185756,174768,10988
11460,"Ann Arbor, MI",0.5549594721740096,342234,189926,181459,8467
11500,"Anniston-Oxford-Jacksonville, AL",0.47131738253098876,114477,53955,51524,2431
11540,"Appleton, WI",0.5555123306703716,215925,119949,114645,5304
11700,"Asheville, NC",0.5001992896207947,396408,198283,189614,8669
12020,"Athens-Clarke County, GA",0.5542704526914524,178974,99200,94920,4280
12060,"Atlanta-Sandy Springs-Roswell, GA",0.5417464739135629,4770870,2584602,2445674,138928
12100,"Atlantic City-Hammonton, NJ",0.5042466300696921,270332,136314,129021,7293
12220,"Auburn-Opelika, AL",0.5036746925863969,126133,63530,61161,2369
12260,"Augusta-Richmond County, GA-SC",0.4825859128843917,531294,256395,240687,15708
12420,"Austin-Round Rock, TX",0.5492879249297145,1453358,798312,761991,36321
12540,"Bakersfield, CA",0.4295212730996443,760726,326748,299406,27342
12580,"Baltimore-Columbia-Towson, MD",0.5167343549031835,2644231,1366365,1306160,60205
12620,"Bangor, ME",0.5161828940865314,149726,77286,73351,3935
12700,"Barnstable Town, MA",0.5502060857226514,221995,122143,116121,6022
12940,"Baton Rouge, LA",0.49411399107796355,733689,362526,337278,25248
12980,"Battle Creek, MI",0.5162005383386351,138946,71724,66925,4799
13020,"Bay City, MI",0.5089268538450968,109165,55557,51608,3949
13140,"Beaumont-Port Arthur, TX",0.4619914238614873,395516,182725,168636,14089
13220,"Beckley, WV",0.4006823472746247,124570,49913,47361,2552
13380,"Bellingham, WA",0.5528390401725533,185450,102524,97125,5399
13460,"Bend-Redmond, OR",0.5302240212852234,140567,74532,70250,4282
13740,"Billings, MT",0.5688216050296854,148558,84503,81494,3009
13780,"Binghamton, NY",0.48632620354796735,252088,122597,116654,5943
13820,"Birmingham-Hoover, AL",0.4884030274744596,1086318,530561,508760,21801
13900,"Bismarck, ND",0.5781182156274188,105942,61247,59332,1915
13980,"Blacksburg-Christiansburg-Radford, VA",0.4900228083513656,170990,83789,80395,3394
14010,"Bloomington, IL",0.5397621670479903,177015,95546,91543,4003
14020,"Bloomington, IN",0.5226388444728707,150096,78446,74477,3969
14100,"Bloomsburg-Berwick, PA",0.5136051984041664,83718,42998,40612,2386
14260,"Boise City, ID",0.5147482540495082,546980,281557,271210,10347
14460,"Boston-Cambridge-Newton, MA-NH",0.5363556649251728,4418046,2369644,2262546,107098
14500,"Boulder, CO",0.5996124764042378,280241,168036,160654,7382
14540,"Bowling Green, KY",0.5138433914938527,145918,74979,70908,4071
14740,"Bremerton-Silverdale, WA",0.5045703610418422,239806,120999,114535,6464
14860,"Bridgeport-Stamford-Norwalk, CT",0.5033158692724249,897653,451803,431973,19830
15180,"Brownsville-Harlingen, TX",0.3754877098457806,373429,140218,129543,10675
15260,"Brunswick, GA",0.5092581649135248,101532,51706,49267,2439
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",0.5084344524418773,1148563,583969,553310,30659
15500,"Burlington, NC",0.49321302696843755,139311,68710,64582,4128
15540,"Burlington-South Burlington, VT",0.5682428606687089,206637,117420,113534,3886
15680,"California-Lexington Park, MD",0.5073861114265363,96871,49151,47414,1737
15940,"Canton-Massillon, OH",0.5047782648185444,405168,204520,191042,13478
15980,"Cape Coral-Fort Myers, FL",0.4914193672763045,555029,272752,263972,8780
16020,"Cape Girardeau, MO-IL",0.5066703873439731,93173,47208,44855,2353
16060,"Carbondale-Marion, IL",0.5234055262711796,123881,64840,61627,3213
16180,"Carson City, NV",0.4858883212461148,55982,27201,25967,1234
16220,"Casper, WY",0.559537770658734,69922,39124,37778,1346
16300,"Cedar Rapids, IA",0.5585222332315531,247265,138103,132080,6023
16540,"Chambersburg-Waynesboro, PA",0.5538016368308536,138927,76938,74296,2642
16580,"Champaign-Urbana, IL",0.530736224028907,221400,117505,112646,4859
16620,"Charleston, WV",0.4516964211647696,229041,103457,98348,5109
16700,"Charleston-North Charleston, SC",0.49418949613329477,598313,295680,279790,15890
16740,"Charlotte-Concord-Gastonia, NC-SC",0.5172141199730323,1934168,1000379,946471,53908
16820,"Charlottesville, VA",0.5067398463227223,204975,103869,100541,3328
16860,"Chattanooga, TN-GA",0.5028765083152509,499564,251219,239142,12077
16940,"Cheyenne, WY",0.48242196612700045,85732,41359,39658,1701
16980,"Chicago-Naperville-Elgin, IL-IN-WI",0.5065125089717863,9276302,4698563,4422922,275641
17020,"Chico, CA",0.4577792057815527,214752,98309,91677,6632
17140,"Cincinnati, OH-KY-IN",0.5299163600387176,2054879,1088914,1029587,59327
17300,"Clarksville, TN-KY",0.4127751616989223,237633,98089,92604,5485
17420,"Cleveland, TN",0.4886390640709259,109410,53462,50605,2857
17460,"Cleveland-Elyria, OH",0.5107186204094428,2111699,1078484,1023398,55086
17660,"Coeur d'Alene, ID",0.5332772362112216,125972,67178,64151,3027
17780,"College Station-Bryan, TX",0.5054889434889435,203500,102867,98487,4380
17820,"Colorado Springs, CO",0.5136361007046878,587778,301904,286044,15860
17860,"Columbia, MO",0.5761765219845953,148786,85727,82672,3055
17900,"Columbia, SC",0.5082098518221866,699160,355320,335004,20316
17980,"Columbus, GA-AL",0.44542844970281953,286358,127552,119930,7622
18020,"Columbus, IN",0.5075753461851751,73660,37388,35576,1812
18140,"Columbus, OH",0.5339121870823158,1791126,956304,903747,52557
18580,"Corpus Christi, TX",0.4733586671406747,416308,197063,185980,11083
18700,"Corvallis, OR",0.5179200177902968,80943,41922,39870,2052
18880,"Crestview-Fort Walton Beach-Destin, FL",0.5333944490376419,233437,124514,121022,3492
19060,"Cumberland, MD-WV",0.48138813110346734,101172,48703,45836,2867
19100,"Dallas-Fort Worth-Arlington, TX",0.5236029576859378,5776543,3024615,2866914,157701
19140,"Dalton, GA",0.4967023938454644,133885,66501,63337,3164
19180,"Danville, IL",0.45718499178029204,82728,37822,35444,2378
19300,"Daphne-Fairhope-Foley, AL",0.47713238491644405,160970,76804,73743,3061
19340,"Davenport-Moline-Rock Island, IA-IL",0.5424832920327401,372876,202279,193090,9189
19380,"Dayton, OH",0.5025846022322017,804766,404463,379186,25277
19460,"Decatur, AL",0.48301538420070217,148399,71679,68274,3405
19500,"Decatur, IL",0.47564433801751843,111083,52836,49634,3202
19660,"Deltona-Daytona Beach-Ormond Beach, FL",0.4876026309015542,563305,274669,264295,10374
19740,"Denver-Aurora-Lakewood, CO",0.5634146665586396,2332749,1314305,1246648,67657
19780,"Des Moines-West Des Moines, IA",0.5680377623289325,521578,296276,284639,11637
19820,"Detroit-Warren-Dearborn, MI",0.4985342068061551,4431048,2209029,2055031,153998
20020,"Dothan, AL",0.4771484818102647,136643,65199,62654,2545
20100,"Dover, DE",0.49808071376698826,144585,72015,69394,2621
20220,"Dubuque, IA",0.5595853209796297,90769,50793,48597,2196
20260,"Duluth, MN-WI",0.5098235519477233,276682,141059,133794,7265
20500,"Durham-Chapel Hill, NC",0.5334844758851985,458287,244489,233982,10507
20700,"East Stroudsburg, PA",0.48134160264124165,162045,77999,73678,4321
20740,"Eau Claire, WI",0.5581329250883347,154809,86404,82461,3943
20940,"El Centro, CA",0.3881291116050553,156113,60592,50920,9672
21060,"Elizabethtown-Fort Knox, KY",0.46568980645897684,140177,65279,61297,3982
21140,"Elkhart-Goshen, IN",0.5301390955150279,192242,101915,97189,4726
21300,"Elmira, NY",0.4568422237227099,88860,40595,38438,2157
21340,"El Paso, TX",0.3982687888493816,731511,291338,270806,20532
21500,"Erie, PA",0.507212917236329,277211,140605,133043,7562
21660,"Eugene, OR",0.5169266684731308,335831,173600,162936,10664
21780,"Evansville, IN-KY",0.5235844709785284,303844,159088,150929,8159
21820,"Fairbanks, AK",0.500348331877343,90431,45247,42606,2641
22020,"Fargo, ND-MN",0.5973650708124013,189303,113083,109814,3269
22140,"Farmington, NM",0.43635475005808877,124809,54461,51561,2900
22180,"Fayetteville, NC",0.42374953783628777,343493,145555,137622,7933
22220,"Fayetteville-Springdale-Rogers, AR-MO",0.5412745994357664,407987,220833,213392,7441
22380,"Flagstaff, AZ",0.534406612871482,127025,67883,64549,3334
22420,"Flint, MI",0.48063763818959204,442508,212686,195902,16784
22500,"Florence, SC",0.46386198516822563,199167,92386,84237,8149
22520,"Florence-Muscle Shoals, AL",0.4663540151826158,143717,67023,63515,3508
22540,"Fond du Lac, WI",0.5626353263441998,99297,55868,53301,2567
22660,"Fort Collins, CO",0.6031782957007226,275116,165944,158693,7251
22900,"Fort Smith, AR-OK",0.47420774779909114,266708,126475,120658,5817
23060,"Fort Wayne, IN",0.5243676222596965,403240,211446,200384,11062
23420,"Fresno, CA",0.4666785104358889,872470,407163,370589,36574
23460,"Gadsden, AL",0.4532343419853839,103174,46762,44542,2220
23540,"Gainesville, FL",0.5250864531950616,249557,131039,127175,3864
23580,"Gainesville, GA",0.5143590157722436,160979,82801,79099,3702
23900,"Gettysburg, PA",0.5526539967141959,98606,54495,52517,1978
24020,"Glens Falls, NY",0.529590989551514,127674,67615,64560,3055
24140,"Goldsboro, NC",0.43701766530779684,117009,51135,48460,2675
24220,"Grand Forks, ND-MN",0.5623817462184358,97777,54988,53021,1967
24260,"Grand Island, NE",0.5572945994369081,78140,43547,41958,1589
24300,"Grand Junction, CO",0.5438883512297034,130194,70811,67350,3461
24340,"Grand Rapids-Wyoming, MI",0.5338807659936562,970713,518245,488145,30100
24420,"Grants Pass, OR",0.4252417555169849,80660,34300,31812,2488
24500,"Great Falls, MT",0.4866256043777564,80041,38950,37279,1671
24540,"Greeley, CO",0.4984184243468429,222879,111087,105019,6068
24580,"Green Bay, WI",0.5649932614555256,296800,167690,159911,7779
24660,"Greensboro-High Point, NC",0.533137886217286,677080,360977,342202,18775
24780,"Greenville, NC",0.4967788601288456,147929,73488,69235,4253
24860,"Greenville-Anderson-Mauldin, SC",0.5035240247009363,763048,384213,360541,23672
25060,"Gulfport-Biloxi-Pascagoula, MS",0.48849860118122473,360304,176008,157513,18495
25180,"Hagerstown-Martinsburg, MD-WV",0.4755121734600637,234198,111364,106663,4701
25220,"Hammond, LA",0.4693109949199922,107677,50534,45709,4825
25260,"Hanford-Corcoran, CA",0.37093429419829554,145147,53840,48757,5083
25420,"Harrisburg-Carlisle, PA",0.5284770101279064,525775,277860,266649,11211
25500,"Harrisonburg, VA",0.524836623728581,116602,61197,59178,2019
25540,"Hartford-West Hartford-East Hartford, CT",0.5118092074526339,1187929,607993,577602,30391
25620,"Hattiesburg, MS",0.4889500193723363,129050,63099,59276,3823
25860,"Hickory-Lenoir-Morganton, NC",0.4975618295737225,354159,176216,164619,11597
25940,"Hilton Head Island-Bluffton-Beaufort, SC",0.43883729330304944,163343,71681,68165,3516
25980,"Hinesville, GA",0.3751947116957916,76395,28663,27079,1584
26140,"Homosassa Springs, FL",0.38361324752786063,133791,51324,49126,2198
26300,"Hot Springs, AR",0.4553509381514941,92096,41936,39562,2374
26380,"Houma-Thibodaux, LA",0.4827752035065748,199625,96374,90333,6041
26420,"Houston-The Woodlands-Sugar Land, TX",0.49539821331610256,5234054,2592941,2447949,144992
26580,"Huntington-Ashland, WV-KY-OH",0.455419715694294,361864,164800,155947,8853
26620,"Huntsville, AL",0.5201232908682671,372777,193890,186636,7254
26820,"Idaho Falls, ID",0.5263579099545642,116208,61167,59280,1887
26900,"Indianapolis-Carmel-Anderson, IN",0.5308594276573796,1772959,941192,893669,47523
26980,"Iowa City, IA",0.6075961877867985,141650,86066,83289,2777
27060,"Ithaca, NY",0.5491134733941448,99433,54600,52653,1947
27100,"Jackson, MI",0.4802725594460493,163047,78307,72944,5363
27140,"Jackson, MS",0.4995287309108513,545336,272411,256376,16035
27180,"Jackson, TN",0.478017623938126,126192,60322,56783,3539
27260,"Jacksonville, FL",0.5088025350019855,1249072,635531,611676,23855
27340,"Jacksonville, NC",0.3561973219681308,157205,55996,53011,2985
27500,"Janesville-Beloit, WI",0.5306996000280682,156761,83193,78337,4856
27620,"Jefferson City, MO",0.5386638975424022,144450,77810,74374,3436
27740,"Johnson City, TN",0.5002431520969225,189182,94637,89637,5000
27780,"Johnstown, PA",0.4566899132505528,146975,67122,63007,4115
27860,"Jonesboro, AR",0.5025051079328418,112570,56567,53657,2910
27900,"Joplin, MO",0.49537193066923446,166160,82311,78276,4035
27980,"Kahului-Wailuku-Lahaina, HI",0.5227817745803357,143448,74992,72966,2026
28020,"Kalamazoo-Portage, MI",0.5415745563090911,320268,173449,163618,9831
28100,"Kankakee, IL",0.48807880130099984,107917,52672,49324,3348
28140,"Kansas City, MO-KS",0.5308197009785129,1909428,1013562,956538,57024
28420,"Kennewick-Richland, WA",0.5217403211524242,219086,114306,107034,7272
28660,"Killeen-Temple, TX",0.4177991961581169,357533,149377,141661,7716
28700,"Kingsport-Bristol-Bristol, TN-VA",0.4636634393211666,302519,140267,132853,7414
28740,"Kingston, NY",0.5032723445773358,182438,91816,87828,3988
28940,"Knoxville, TN",0.5033964908197994,790669,398020,379301,18719
29020,"Kokomo, IN",0.4642459292266123,84382,39174,36607,2567
29100,"La Crosse-Onalaska, WI-MN",0.5597495928181615,129549,72515,69556,2959
29180,"Lafayette, LA",0.4772581972002686,436399,208275,196309,11966
29200,"Lafayette-West Lafayette, IN",0.5025661754147099,188023,94494,89847,4647
29340,"Lake Charles, LA",0.49627269135597096,192364,95465,88378,7087
