cbsa_fips,cbsa,city_fips,city,pop_1790,pop_1800,pop_1810,pop_1820,pop_1830,pop_1840,pop_1850,pop_1860,pop_1870,pop_1880,pop_1890,pop_1900,pop_1910,pop_1920,pop_1930,pop_1940,pop_1950,pop_1960,pop_1970,pop_1980,pop_1990,pop_2000,pop_2010
10180,"Abilene, TX",4801000,Abilene city,0,0,0,0,0,0,0,0,0,0,3194,3411,9204,10274,23175,26612,45570,90368,89653,98315,106707,115930,117063
10420,"Akron, OH",3901000,Akron city,0,0,0,0,0,1664,3266,3477,10006,16512,27601,42728,69067,208435,255040,244791,274605,290351,275425,237177,223019,217074,199110
10500,"Albany, GA",1301052,Albany city,0,0,0,0,0,0,0,1618,2101,3216,4008,4606,8190,11555,14507,19055,31155,55890,72623,74425,78122,76939,77434
10540,"Albany, OR",4101000,Albany city,0,0,0,0,0,0,0,0,1292,1867,3079,3149,4275,4840,5325,5654,10115,12926,18181,26511,29462,40852,50158
10580,"Albany-Schenectady-Troy, NY",3601000,Albany city,3498,5349,10762,12630,24209,33721,50763,62367,69422,90758,94923,94151,101253,113344,127412,130577,134995,129726,115781,101727,101082,95658,97856
10740,"Albuquerque, NM",3502000,Albuquerque city,0,0,0,0,0,0,0,0,0,2315,3785,6238,11020,15157,26570,35449,96815,201189,244501,332920,384736,448607,545852
10780,"Alexandria, LA",2200975,Alexandria city,0,0,0,0,0,814,672,1461,1218,1800,2861,5648,11213,17510,23025,27066,34913,40279,41811,51648,49188,46342,47723
10900,"Allentown-Bethlehem-Easton, PA-NJ",4202000,Allentown city,486,573,710,1132,1757,2500,3779,8025,13884,18063,25288,35416,51913,73502,92563,96904,106756,108347,109871,103758,105090,106632,118032
11020,"Altoona, PA",4202184,Altoona city,0,0,0,0,0,0,0,3591,10610,19710,30337,38973,52127,60331,82054,80214,77177,69407,63115,57078,51881,49523,46320
11100,"Amarillo, TX",4803000,Amarillo city,0,0,0,0,0,0,0,0,0,0,500,1442,9957,15494,43132,51686,74246,137969,127010,149230,157615,173627,190695
11180,"Ames, IA",1901855,Ames city,0,0,0,0,0,0,0,0,636,1153,1276,2422,4223,6270,10261,12555,22898,27003,39505,45775,47198,50731,58965
11260,"Anchorage, AK",203000,Anchorage municipality,0,0,0,0,0,0,0,0,0,0,0,0,0,1900,2300,3495,11254,44237,48081,174431,226338,260283,291826
11460,"Ann Arbor, MI",2603000,Ann Arbor city,0,0,0,0,0,0,0,5097,7363,8061,9431,14509,14817,19516,26944,29815,48251,67340,100035,107969,109592,114024,113934
11500,"Anniston-Oxford-Jacksonville, AL",101852,Anniston city,0,0,0,0,0,0,0,0,0,942,9998,9695,12794,17734,22345,25523,31066,33320,31533,29135,26623,24276,23106
11540,"Appleton, WI",5502375,Appleton city,0,0,0,0,0,0,0,2345,2345,4518,8005,11869,15085,16773,19561,25267,34010,48411,56377,58913,65695,70087,72623
11700,"Asheville, NC",3702140,Asheville city,0,38,0,0,0,0,0,502,1400,2616,10235,14694,18762,28504,50193,51310,53000,60186,57929,54022,61607,68889,83393
12020,"Athens-Clarke County, GA",1303440,Athens-Clarke County (balance),0,0,273,0,0,0,1661,3848,4251,6099,8639,10245,14913,16748,18192,20650,28180,31355,44342,42549,45734,100266,115452
12060,"Atlanta-Sandy Springs-Roswell, GA",1304000,Atlanta city,0,0,0,0,0,0,2572,9554,21789,37409,65533,89872,154839,200616,270366,302288,331314,487455,495039,425022,394017,416474,420003
12100,"Atlantic City-Hammonton, NJ",3402080,Atlantic City city,0,0,0,0,0,0,0,687,1043,5477,13055,27838,46150,50707,66198,64094,61657,59544,47859,40199,37986,40517,39558
12220,"Auburn-Opelika, AL",103076,Auburn city,0,0,0,0,0,0,0,0,1018,1161,1440,1447,1408,2143,2800,4652,12939,16261,22767,28471,33830,42987,53380
12260,"Augusta-Richmond County, GA-SC",1304204,Augusta-Richmond County (balance),0,2215,2476,0,6710,6403,9448,12493,15389,21891,33300,39441,41040,52548,60342,65919,71508,70626,59864,47532,44639,195182,195844
12420,"Austin-Round Rock, TX",4805000,Austin city,0,0,0,0,0,0,629,3494,4428,11013,14575,22258,29860,34876,53120,87930,132459,186545,253539,345890,465622,656562,790390
12540,"Bakersfield, CA",603526,Bakersfield city,0,0,0,0,0,0,0,0,0,801,2626,4836,12727,18638,26015,29252,34784,56848,69515,105611,174820,247057,347483
12580,"Baltimore-Columbia-Towson, MD",2404000,Baltimore city,13503,26514,46555,62738,80620,102313,169054,212418,267354,332313,434439,508957,558485,733826,804874,859100,949708,939024,905787,786741,736014,651154,620961
12620,"Bangor, ME",2302795,Bangor city,0,277,850,1221,2867,8627,14432,16407,18289,16856,19103,21850,24803,25978,28749,29822,31558,38912,33168,31643,33181,31473,33039
12700,"Barnstable Town, MA",2503690,Barnstable Town city,0,0,0,0,0,4301,4901,5129,4793,4242,4023,4364,4676,4836,7271,8333,10480,13465,19842,30898,40949,47821,45193
12940,"Baton Rouge, LA",2205000,Baton Rouge city,0,0,469,0,0,2300,3905,5428,6498,7197,10478,11269,14897,21782,30729,34719,125629,152419,165921,220394,219531,227818,229493
12980,"Battle Creek, MI",2605920,Battle Creek city,0,0,0,0,0,993,1064,3509,5838,7063,13197,18563,25267,36164,43573,43453,48666,44169,38931,35724,53540,53364,52347
13020,"Bay City, MI",2606020,Bay City city,0,0,0,0,0,0,0,1583,7064,20693,27839,27628,45166,47554,47355,47956,52523,53604,49449,41593,38936,36817,34932
13140,"Beaumont-Port Arthur, TX",4807000,Beaumont city,0,0,0,0,0,0,0,0,0,0,3296,9427,20640,40422,57732,59061,94014,119175,117548,118067,114323,113866,118296
13220,"Beckley, WV",5405332,Beckley city,0,0,0,0,0,0,0,0,0,144,158,342,2161,4149,9357,12852,19397,18642,19884,20492,18296,17254,17614
13380,"Bellingham, WA",5305280,Bellingham city,0,0,0,0,0,0,0,0,0,0,8155,11062,24298,25585,30823,29314,34112,34688,39375,45794,52179,67171,80885
13460,"Bend-Redmond, OR",4105800,Bend city,0,0,0,0,0,0,0,0,0,0,0,0,536,5415,8848,10021,11409,11936,13710,17263,20469,52029,76639
13740,"Billings, MT",3006550,Billings city,0,0,0,0,0,0,0,0,145,587,836,3211,10031,15100,16386,23261,31834,52851,61581,66818,81151,89847,104170
13780,"Binghamton, NY",3606607,Binghamton city,0,0,0,0,1203,2800,6000,8325,12692,17317,35005,39647,48443,66800,76662,78309,80674,75941,64123,55860,53008,47380,47376
13820,"Birmingham-Hoover, AL",107000,Birmingham city,0,0,0,0,0,0,0,0,0,3086,26178,38415,132685,178806,259678,267583,326037,340887,300910,284413,265968,242820,212237
13900,"Bismarck, ND",3807200,Bismarck city,0,0,0,0,0,0,0,0,0,1758,2186,3319,4913,7122,11090,15496,18640,27670,34703,44485,49256,55532,61272
13980,"Blacksburg-Christiansburg-Radford, VA",5107784,Blacksburg town,0,0,0,0,0,0,0,0,0,688,0,768,875,1095,1406,2133,3358,7070,9384,30638,34590,39573,42620
14010,"Bloomington, IL",1706613,Bloomington city,0,0,0,0,0,0,1594,7075,14590,17180,20000,23286,25768,28725,30930,32868,34163,36274,39992,44189,51976,64808,76610
14020,"Bloomington, IN",1805860,Bloomington city,0,0,0,0,0,0,1305,2419,1032,2756,4018,6460,8838,11595,18227,20870,26163,31357,43262,52044,60633,69291,80405
14100,"Bloomsburg-Berwick, PA",4207128,Bloomsburg town,0,0,0,1626,2090,1774,3122,2668,3341,3702,4635,6170,7413,7819,9093,9799,10633,10655,11652,11717,12439,12375,14855
14260,"Boise City, ID",1608830,Boise City city,0,0,0,0,0,0,0,0,995,1899,2311,5957,17358,21393,21544,26130,34393,34481,74990,102249,125738,185787,205671
14460,"Boston-Cambridge-Newton, MA-NH",2507000,Boston city,18320,24937,33787,43298,61392,93383,136881,177840,250526,362839,448477,560892,670585,748060,781188,770816,801444,697197,641071,562994,574283,589141,617594
14500,"Boulder, CO",807850,Boulder city,0,0,0,0,0,0,0,0,343,3069,3330,6150,9539,11006,11223,12958,19999,37718,66870,76685,83312,94673,97385
14540,"Bowling Green, KY",2108902,Bowling Green city,0,41,154,0,821,0,0,0,4574,5114,7803,8226,9173,9638,12348,14585,18347,28338,36705,40450,40641,49296,58067
14740,"Bremerton-Silverdale, WA",5307695,Bremerton city,0,0,0,0,0,0,0,0,0,0,0,0,2993,8918,10170,15134,27678,28922,35307,36208,38142,37259,37729
14860,"Bridgeport-Stamford-Norwalk, CT",908000,Bridgeport city,0,0,1089,1500,2800,3294,6080,12106,18969,27643,48866,70996,102054,143555,146716,147121,158709,156748,156542,142546,141686,139529,144229
15180,"Brownsville-Harlingen, TX",4810768,Brownsville city,0,0,0,0,0,0,2734,2734,4905,4938,6134,6305,10517,11791,22021,22083,35086,48040,52522,84997,98962,139722,175023
15260,"Brunswick, GA",1311560,Brunswick city,0,0,36,0,0,0,0,825,2348,2891,8459,9081,10182,14413,14022,15035,17954,21703,19585,17605,16433,15600,15383
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",3611000,Buffalo city,0,0,1508,2100,8668,18213,42261,81129,117714,155134,255664,352387,423715,506775,573076,575901,580132,532759,462768,357870,328123,292648,261310
15500,"Burlington, NC",3709060,Burlington city,0,0,0,0,0,0,0,0,0,817,1716,3692,4808,5952,9737,12198,24560,33199,35930,37266,39498,44917,49963
15540,"Burlington-South Burlington, VT",5010675,Burlington city,330,816,1690,2111,3526,4271,6110,7713,13596,11365,14590,18640,20468,22779,24789,27686,33155,35531,38633,37712,39127,38889,42417
15940,"Canton-Massillon, OH",3912000,Canton city,0,0,0,0,1257,0,2603,4041,8660,12258,26189,30667,50217,87091,104906,108401,116912,113631,110053,94730,84161,80806,73007
15980,"Cape Coral-Fort Myers, FL",1210275,Cape Coral city,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,10200,32103,74991,102286,154305
16020,"Cape Girardeau, MO-IL",2911242,Cape Girardeau city,0,0,0,0,0,0,0,2663,3585,3889,4297,4815,8475,10252,16227,19426,21578,24947,31282,34361,34438,35349,37941
16060,"Carbondale-Marion, IL",1711163,Carbondale city,0,0,0,0,0,0,0,0,0,2213,2832,3318,5411,6267,7528,8550,10921,14670,22816,26414,27033,25597,25902
16180,"Carson City, NV",3209700,Carson City,0,0,0,0,0,0,714,714,3042,4229,3950,2100,2466,1700,1600,2500,3082,5163,15468,32022,40443,52457,55274
16220,"Casper, WY",5613150,Casper city,0,0,0,0,0,0,0,0,0,40,544,883,2639,11447,16619,17964,23673,38930,39361,51016,46742,49644,55316
16300,"Cedar Rapids, IA",1912000,Cedar Rapids city,0,0,0,0,0,0,0,1830,5940,10104,18020,25656,32811,45566,56097,62120,72296,92035,110642,110243,108772,120758,126326
16540,"Chambersburg-Waynesboro, PA",4212536,Chambersburg borough,0,0,1304,0,2783,3239,3335,5255,6308,6877,7863,8864,11800,13171,13788,14852,17212,17670,17315,16174,16647,17862,20268
16580,"Champaign-Urbana, IL",1712385,Champaign city,0,0,0,0,0,0,0,1727,4625,5103,5839,9098,12421,15873,20348,23302,39563,49583,56837,58267,63502,67518,81055
16620,"Charleston, WV",5414600,Charleston city,0,0,0,0,0,0,1050,1520,3162,4192,6742,11099,22996,39608,60408,67914,73501,85796,71505,63968,57287,53421,51400
16700,"Charleston-North Charleston, SC",4513330,Charleston city,16359,18824,24711,24780,30289,29261,42985,40522,48956,49984,54955,55807,58833,67957,62265,71275,70174,65925,66945,69779,80414,96650,120083
16740,"Charlotte-Concord-Gastonia, NC-SC",3712000,Charlotte city,0,0,0,0,0,0,1100,2300,4473,7094,11557,18091,34014,46338,82675,100899,134042,201564,241420,315474,395934,540828,731424
16820,"Charlottesville, VA",5114968,Charlottesville city,0,0,0,0,0,0,0,0,2838,2676,5591,6449,6765,10688,15245,19400,25969,29427,38880,39916,40341,40099,43475
16860,"Chattanooga, TN-GA",4714000,Chattanooga city,0,0,0,0,0,0,0,0,6093,12892,29100,30154,44604,57895,119798,128163,131041,130009,119923,169514,152466,155554,167674
16940,"Cheyenne, WY",5613900,Cheyenne city,0,0,0,0,0,0,0,0,1450,3456,11690,14087,11320,13829,17361,22474,31935,43505,41254,47283,50008,53011,59466
16980,"Chicago-Naperville-Elgin, IL-IN-WI",1714000,Chicago city,0,0,0,0,0,4470,29963,112172,298977,503185,1099850,1698575,2185283,2701705,3376438,3396808,3620962,3550404,3366957,3005072,2783726,2896016,2695598
17020,"Chico, CA",613014,Chico city,0,0,0,0,0,0,0,0,0,3300,2894,2640,3750,9339,7961,9287,12272,14757,19580,26716,40079,59954,86187
17140,"Cincinnati, OH-KY-IN",3915000,Cincinnati city,0,850,2540,9642,24831,46338,115435,161044,216239,255139,296908,325902,363591,401247,451160,455610,503998,502550,452525,385460,364040,331285,296945
17300,"Clarksville, TN-KY",4715160,Clarksville city,0,0,0,0,0,0,0,0,3200,3880,7924,9431,8548,8110,9242,11831,16246,22021,31719,54777,75494,103455,132929
17420,"Cleveland, TN",4715400,Cleveland city,0,0,0,0,0,0,0,806,1658,1874,2863,3858,5549,6522,9136,11351,12605,16196,21446,26415,30354,37192,41285
17460,"Cleveland-Elyria, OH",3916000,Cleveland city,0,0,0,606,1100,6071,17034,43417,92829,160146,261353,381768,560653,796841,900429,878336,914808,876050,750879,573822,505616,478403,396815
17660,"Coeur d'Alene, ID",1616750,Coeur d'Alene city,0,0,0,0,0,0,0,0,0,0,491,508,7291,6447,8297,10049,12198,14291,16228,19913,24563,34514,44137
17780,"College Station-Bryan, TX",4815976,College Station city,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2200,7925,11396,17676,37272,52456,67890,93857
17820,"Colorado Springs, CO",816000,Colorado Springs city,0,0,0,0,0,0,0,0,0,4226,11140,21085,29078,30105,33237,36789,45472,70194,135517,215105,281140,360890,416427
17860,"Columbia, MO",2915670,Columbia city,0,0,0,0,600,750,651,1414,2236,3326,4000,5651,9662,10392,14967,18399,31974,36650,58521,62061,69101,84531,108500
17900,"Columbia, SC",4516000,Columbia city,0,0,0,0,3310,4340,6060,8052,9298,10036,15353,21108,26319,37524,51581,62396,86914,97433,112542,101208,98052,116278,129272
17980,"Columbus, GA-AL",1319000,Columbus city (balance),0,0,0,0,1152,3114,5942,9621,7401,10123,17303,17614,20554,31125,43131,53280,79611,116779,155028,169441,178681,185781,189885
18020,"Columbus, IN",1814734,Columbus city,0,0,0,0,0,0,1008,1840,3359,4813,6719,8130,8813,8990,9935,11738,18370,20778,26457,30614,31802,39059,44061
18140,"Columbus, OH",3918000,Columbus city,0,0,0,0,2435,6048,17882,18554,31274,51647,88150,125560,181511,237031,290564,306087,375901,471316,539677,565021,632910,711470,787033
18580,"Corpus Christi, TX",4817000,Corpus Christi city,0,0,0,0,0,0,0,200,2140,3257,4387,4703,8222,10522,27741,57301,108287,167690,204525,231999,257453,277454,305215
18700,"Corvallis, OR",4115800,Corvallis city,0,0,0,0,0,0,0,0,0,1128,1527,1819,4552,5752,7585,8392,16207,20669,35056,40960,44757,49399,54462
18880,"Crestview-Fort Walton Beach-Destin, FL",1224475,Fort Walton Beach city,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2463,12147,19994,20829,21471,19973,19507
19060,"Cumberland, MD-WV",2421325,Cumberland city,0,0,0,0,0,2428,6073,4078,8056,10693,12729,17128,21839,29837,37747,39483,37679,33415,29724,25933,23706,21518,20859
19100,"Dallas-Fort Worth-Arlington, TX",4819000,Dallas city,0,0,0,0,0,0,1073,698,3000,10358,38067,42639,92104,158976,260475,294734,434462,679684,844401,904599,1006977,1188580,1197816
19140,"Dalton, GA",1321380,Dalton city,0,0,0,0,0,0,0,1649,1809,2516,3046,4315,5324,5222,8160,10448,15968,17868,18872,20581,21761,27912,33128
19180,"Danville, IL",1718563,Danville city,0,0,0,0,0,503,736,1632,4751,7733,11491,16354,27871,33776,36765,36919,37864,41856,42570,38985,33828,33904,33027
19300,"Daphne-Fairhope-Foley, AL",119648,Daphne city,0,0,0,0,0,0,0,0,0,0,549,0,0,0,582,630,1041,1527,2382,3406,11290,16581,21570
19340,"Davenport-Moline-Rock Island, IA-IL",1919000,Davenport city,0,0,0,0,0,0,1848,11267,20038,21831,26872,35254,43028,56727,60751,66039,74549,88981,98469,103264,95333,98359,99685
19380,"Dayton, OH",3921000,Dayton city,0,0,400,1000,2950,6067,10977,20081,30473,38678,61220,85333,116577,152559,200982,210718,243872,262332,243023,193536,182044,166179,141759
19460,"Decatur, AL",120104,Decatur city,0,0,0,0,0,0,606,0,671,1063,2765,3114,4228,4752,15593,16604,19974,29217,38044,42002,48761,53929,55683
19500,"Decatur, IL",1718823,Decatur city,0,0,0,0,0,0,0,3839,7161,9547,16841,20754,31140,43818,57510,59305,66269,78004,90397,93939,83885,81860,76122
19660,"Deltona-Daytona Beach-Ormond Beach, FL",1217200,Deltona city,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4900,49400,69543,85182
19740,"Denver-Aurora-Lakewood, CO",820000,Denver city,0,0,0,0,0,0,0,4749,4759,35629,106713,133859,213381,256491,287861,322412,415765,493887,514678,492686,467610,554636,600158
19780,"Des Moines-West Des Moines, IA",1921000,Des Moines city,0,0,0,0,0,0,502,3965,12035,22408,50093,62139,86368,126468,142559,159819,177965,208982,201404,191003,193187,198682,203433
19820,"Detroit-Warren-Dearborn, MI",2622000,Detroit city,0,0,0,1422,2222,9102,21019,45619,79577,116340,205876,285704,465766,993678,1568662,1623452,1849568,1670144,1514063,1203368,1027974,951270,713777
20020,"Dothan, AL",121184,Dothan city,0,0,0,0,0,0,0,0,0,0,247,3275,7016,10034,16046,17194,21584,31440,36733,48750,53589,57737,65496
20100,"Dover, DE",1021200,Dover city,0,0,0,0,0,0,0,0,1906,2811,3061,3329,3720,4042,4800,5517,6223,7250,17488,23507,27630,32135,36047
20220,"Dubuque, IA",1922395,Dubuque city,0,0,0,0,0,0,3108,13000,18434,22254,30311,36297,38494,39141,41679,43892,49671,56606,62309,62374,57546,57686,57637
20260,"Duluth, MN-WI",2717000,Duluth city,0,0,0,0,0,0,0,80,3131,3483,33115,52969,78466,98917,101453,101065,104511,106884,100578,92811,85493,86918,86265
20500,"Durham-Chapel Hill, NC",3719000,Durham city,0,0,0,0,0,0,0,0,0,2041,5485,6679,18241,21719,52037,60195,71311,78302,95438,101149,136611,187035,228330
20700,"East Stroudsburg, PA",4221872,East Stroudsburg borough,0,0,0,0,0,0,0,0,0,1162,1819,2648,3330,4855,6099,6404,7274,7674,7894,8039,8781,9888,9840
20740,"Eau Claire, WI",5522300,Eau Claire city,0,0,0,0,0,0,0,0,2293,10119,17415,17517,18310,20906,26287,30745,36058,37987,44619,51509,56856,61704,65883
20940,"El Centro, CA",621782,El Centro city,0,0,0,0,0,0,0,0,0,0,0,0,1610,5464,8434,10017,12590,16811,19272,23996,31384,37835,42598
21060,"Elizabethtown-Fort Knox, KY",2124274,Elizabethtown city,0,0,181,0,601,979,0,556,1743,2526,2260,1900,1970,2530,2590,3667,5807,9641,11748,15380,18167,22542,28531
21140,"Elkhart-Goshen, IN",1820728,Elkhart city,0,0,0,0,0,0,0,1439,3265,6953,11360,15184,19282,24277,32949,33434,35646,40274,43152,41305,43627,51874,50949
21300,"Elmira, NY",3624229,Elmira city,0,0,0,0,0,0,0,0,15863,20541,30893,35672,37176,45393,47397,45106,49716,46517,39945,35327,33724,30940,29200
21340,"El Paso, TX",4824000,El Paso city,0,0,0,0,0,0,200,428,0,736,10338,15906,39279,77560,102421,96810,130485,276687,339615,425259,515342,563662,649121
21500,"Erie, PA",4224000,Erie city,0,100,400,635,1500,3412,5858,9419,19646,27737,40634,52733,66525,93372,115967,116955,130803,138440,129231,119123,108718,103717,101786
21660,"Eugene, OR",4123850,Eugene city,0,0,0,0,0,0,0,1183,861,1117,0,3236,9009,10593,18901,20838,35879,50977,79028,105664,112669,137893,156185
21780,"Evansville, IN-KY",1822000,Evansville city,0,0,0,993,1120,3317,3235,11484,21830,29280,50756,59097,69647,85246,102249,97962,128636,141543,138764,130496,126272,121582,117429
21820,"Fairbanks, AK",224230,Fairbanks city,0,0,0,0,0,0,0,0,0,0,0,3500,3541,1200,2101,3455,5771,13311,14771,22645,30843,30224,31535
22020,"Fargo, ND-MN",3825700,Fargo city,0,0,0,0,0,0,0,0,0,2693,5664,9589,14331,21961,28619,32580,38256,46662,53365,61383,74111,90599,105549
22140,"Farmington, NM",3525800,Farmington city,0,0,0,0,0,0,0,0,0,0,0,0,785,728,1350,2200,3637,23786,21979,31222,33997,37844,45877
22180,"Fayetteville, NC",3722920,Fayetteville city,1536,1656,0,3532,2868,4285,4646,4790,4660,3485,4222,4670,7045,8877,13049,17428,34715,47106,53510,59507,75695,121015,200564
22220,"Fayetteville-Springdale-Rogers, AR-MO",523290,Fayetteville city,0,0,0,0,0,425,598,972,955,1788,2942,4061,4471,5362,7394,8212,17071,20274,30729,36608,42099,58047,73580
22380,"Flagstaff, AZ",423620,Flagstaff city,0,0,0,0,0,0,0,0,0,0,964,1271,1633,3186,3891,5080,7663,18214,26117,34743,45857,52894,65870
22420,"Flint, MI",2629000,Flint city,0,0,0,0,0,0,1670,2950,5386,8409,9803,13103,38550,91599,156492,151543,163413,196940,193317,159611,140761,124943,102434
22500,"Florence, SC",4525810,Florence city,0,0,0,0,0,0,0,0,0,1914,3395,4647,7057,10968,14774,16054,22513,24722,25997,29842,29813,30248,37056
22520,"Florence-Muscle Shoals, AL",126896,Florence city,0,0,0,0,0,0,802,1395,2003,1359,6012,6478,6689,10529,11729,15043,23879,31649,34031,37029,36426,36264,39319
22540,"Fond du Lac, WI",5526275,Fond du Lac city,0,0,0,0,0,0,0,5460,12764,13094,12024,15110,18797,23427,26449,27209,29936,32719,35515,35863,37757,42203,43021
22660,"Fort Collins, CO",827425,Fort Collins city,0,0,0,0,0,0,0,0,0,1356,2011,3053,8210,8755,11489,12251,14937,25027,43337,65092,87758,118652,143986
22900,"Fort Smith, AR-OK",524550,Fort Smith city,0,0,0,0,0,144,964,1532,2227,3099,11311,11587,23975,28870,31429,36584,47942,52991,62802,71626,72798,80268,86209
