cbsa_fips,cbsa,clusterz_13,clusterz_11,clusterz_21,clusterz_17,clusterm_13,clusterm_11,clusterm_21,clusterm_17,density,age_pct_u18,age_pct_o64,nat_nativity,laus_lfpr,access,city_age,r1_per_100k,st_cap,mfg_lq_gmp,chartbl_per_cap,freight_sqmi,enplane_per_cap,hist_bldgs,city_decades_since_peak,city_decline_since_peak,pctchg_00_05,vacancy_msa,pct_prewar_city,pct_ph,med_val_cbsa,prop_crimes_per100k,pct_low_inf_bw,pct_obese_adult,pct_uninsured_adult,pov_poverty_rate,gini,pct_deficient,sfund_per_sqmi,edu_no_hs_diploma,edu_bachelors_plus
10180,"Abilene, TX",1,1,1,1,1,1,1,1,58.2605,0.2603,0.1299,0.9612,0.4981,42.6628,50,0,0,0.61,1190.5837,4e-4,0.4869,1,0,0,0.0032,0.1034,0.0839,0.016,102000,3853.5466,8.1967,27.4333,23.3667,0.1459,0.4612,0,0,0.2131,0.1955
10420,"Akron, OH",2,2,2,2,2,2,2,2,761.1377,0.2476,0.1342,0.9469,0.5417,42.6803,100,0,0,1.49,853.0916,0.0119,1.0129,9,5,0.3142,0.0108,0.0575,0.347,0.0415,140800,3710.4732,7.955,28.15,11.9,0.098,0.4656,0,0.0022,0.1426,0.2428
10500,"Albany, GA",1,1,3,3,1,1,1,1,80.0558,0.2831,0.1102,0.9605,0.4739,41.9265,50,0,0,1.21,74.7407,0.002,0.2456,2,2,0.0088,-0.006,0.0996,0.0415,0.0324,111700,4325.4338,11.444,31.38,16.5,0.2153,0.4825,0.139,0.0015,0.2677,0.1567
10580,"Albany-Schenectady-Troy, NY",2,2,2,2,3,3,3,3,297.4345,0.2384,0.1397,0.9401,0.5316,81.5349,160,0.234,1,0.63,486.8874,0.0042,1.7942,59,6,0.2751,0.0348,0.0921,0.4987,0.0307,203300,2637.8299,7.058,25.36,13.98,0.0929,0.443,0,0.0017,0.1392,0.2911
10740,"Albuquerque, NM",3,3,4,4,4,4,4,4,87.0898,0.2641,0.1125,0.9442,0.487,44.8312,60,0.1235,0,0.71,95.5014,9e-4,3.9156,0,0,0,0.1095,0.081,0.0362,0.0132,181300,4759.4284,7.765,22.325,22.425,0.139,0.4641,0,4e-4,0.1628,0.2808
10780,"Alexandria, LA",1,1,3,3,1,1,1,1,72.9457,0.2737,0.1301,0.9667,0.4581,35.7882,30,0,0,0.82,173.9061,5e-4,0.9362,3,3,0.076,0.02,0.1053,0.0902,0.0301,128700,4769.1476,9.92,29.65,21.6,0.2067,0.4753,0,0,0.2558,0.1567
10900,"Allentown-Bethlehem-Easton, PA-NJ",4,4,5,5,2,2,5,5,534.6654,0.2386,0.156,0.9565,0.5171,55.6479,100,0,0,1.15,410.4724,0.0048,0.5321,10,0,0,0.0639,0.0698,0.4097,0.0265,202800,2549.3248,7.9075,28.25,12.925,0.0828,0.4428,0,0.0081,0.1868,0.2168
11020,"Altoona, PA",5,2,6,6,5,5,6,6,240.7296,0.2267,0.1739,0.965,0.5112,41.2068,100,0,0,1.25,42.235,0.0095,0.0541,2,8,0.4355,-0.0187,0.0643,0.5568,0.0325,117300,2487.9665,6.86,30.8,10.4,0.1264,0.4439,0,0.0019,0.1624,0.1388
11100,"Amarillo, TX",6,5,7,7,4,4,4,4,46.3712,0.2717,0.1198,0.9582,0.5308,30.9257,70,0,0,1.12,452.9174,0.001,1.857,1,0,0,0.051,0.0693,0.0827,0.007,129900,5340.2945,8.88,27.3667,22.7667,0.1359,0.4593,0.0028,2e-4,0.1986,0.2081
11180,"Ames, IA",7,6,8,8,6,4,7,7,144.71,0.1906,0.0984,0.9176,0.5661,98.8939,10,1.2065,0,1.33,144.1825,0,0,0,0,0,0.0363,0.0407,0.1223,0.0117,172900,2685.6812,5.38,26.2,16.8,0.1406,0.4677,0,0,0.0647,0.445
11260,"Anchorage, AK",3,3,9,9,4,4,8,8,13.2056,0.2972,0.0555,0.9391,0.5294,53.5761,30,0,0,0.07,1765.4594,2e-4,7.0149,2,0,0,0.0979,0.0965,0.0061,0.0137,284300,3553.6886,6.24,27.3,18.6,0.0803,0.4184,0,1e-4,0.101,0.2697
11460,"Ann Arbor, MI",7,6,8,8,6,4,7,7,474.4881,0.2208,0.0814,0.8947,0.555,96.6969,50,0.2922,0,1.08,890.5644,0.0014,0,1,1,8e-4,0.0599,0.0438,0.1684,0.0331,231500,2970.7744,7.29,27,15.3,0.1108,0.4785,0,0,0.0847,0.4814
11500,"Anniston-Oxford-Jacksonville, AL",5,2,10,6,5,5,6,6,186.9295,0.2357,0.1414,0.964,0.4713,15.5579,0,0,0,1.3,64.832,0.0016,0,3,5,0.3065,0.0198,0.1172,0.147,0.0346,110100,4797.4702,9.35,33.2,13.3,0.1611,0.4629,0,0.0016,0.261,0.1522
11540,"Appleton, WI",4,4,11,10,4,4,9,4,207.722,0.2785,0.1089,0.9427,0.5555,40.887,40,0,0,1.77,165.5547,0.0038,1.3856,0,0,0,0.071,0.0374,0.2217,0.014,161800,2124.8119,6.115,27.15,9.65,0.0445,0.4055,0,0.0019,0.1203,0.2216
11700,"Asheville, NC",3,3,4,4,1,1,1,1,194.2486,0.2142,0.1748,0.9564,0.5002,29.5418,80,0,0,1.34,89.6505,0.001,0.7962,10,0,0,0.0738,0.12,0.2259,0.0205,198100,3248.4208,8.8075,25.45,18.05,0.1123,0.4554,0,0.0025,0.1907,0.2311
12020,"Athens-Clarke County, GA",7,6,8,8,6,4,7,7,172.8789,0.2171,0.0893,0.9193,0.5543,77.1581,10,0.5587,0,1.47,57.0528,0,0.0429,4,0,0,0.0776,0.0612,0.07,0.0318,162600,4160.9396,8.0725,27.425,24.775,0.2076,0.5089,0.0758,0.001,0.2062,0.3242
12060,"Atlanta-Sandy Springs-Roswell, GA",6,5,12,11,3,3,3,3,539.7552,0.2663,0.0771,0.9219,0.5417,50.3922,120,0.0419,1,0.62,748.1857,0.0059,8.8878,40,4,0.1516,0.119,0.0551,0.1678,0.0219,184200,4178.2107,8.5097,27.9379,18.0759,0.0952,0.4723,0.0109,0,0.1652,0.3132
12100,"Atlantic City-Hammonton, NJ",4,4,5,5,2,2,5,5,443.592,0.2528,0.1364,0.9575,0.5042,89.0213,90,0,0,0.18,70.2662,0.0016,1.7281,1,8,0.4024,0.0704,0.1671,0.2641,0.0543,219000,3991.3884,8.52,26.5,15.6,0.105,0.4631,0,0.0115,0.2184,0.1869
12220,"Auburn-Opelika, AL",6,5,7,7,6,4,7,7,204.7038,0.2329,0.0811,0.9353,0.5037,47.1643,0,0,0,1.42,75.2823,0,0,1,0,0,0.0959,0.0919,0.0271,0.0289,157100,4184.4719,8.12,30.2,22.7,0.2181,0.5008,0,0,0.1859,0.2791
12260,"Augusta-Richmond County, GA-SC",1,1,3,3,4,4,4,4,148.2654,0.2721,0.11,0.9577,0.4826,33.6846,90,0,0,1.24,219.1936,0.002,0.2939,15,0,0,0.0458,0.1007,0.0762,0.0297,133500,4495.2512,10.4243,31.0714,17.3286,0.1544,0.4664,0.0073,8e-4,0.2183,0.2025
12420,"Austin-Round Rock, TX",6,5,12,11,4,4,8,8,339.2019,0.2537,0.0725,0.9005,0.5493,53.2929,80,0.0688,1,1.1,1360.5826,0.0019,2.5086,3,0,0,0.1629,0.0487,0.0379,0.013,240500,4082.339,7.178,25.58,23.1,0.1107,0.4625,0,0,0.1521,0.3669
12540,"Bakersfield, CA",8,7,13,12,7,1,10,9,93.207,0.3195,0.0938,0.9694,0.4295,35.9677,50,0,0,0.67,62.8158,7e-4,0.21,1,0,0,0.1497,0.0989,0.0429,0.0098,190600,4466.6542,6.83,29.4,16.4,0.2076,0.462,0,2e-4,0.3153,0.1352
12580,"Baltimore-Columbia-Towson, MD",9,8,14,13,8,6,11,10,976.7314,0.253,0.1203,0.942,0.5167,76.7953,190,0.0378,1,0.52,2697.6581,0.0118,3.7173,108,6,0.3462,0.0357,0.0706,0.3685,0.0389,285700,3487.3277,8.4929,26.3,12.8286,0.098,0.4557,0,0.0037,0.1811,0.292
12620,"Bangor, ME",5,2,6,6,5,5,12,11,42.1772,0.2284,0.1306,0.9513,0.5162,57.0163,0,0,0,0.6,108.1387,6e-4,2.8974,1,5,0.1509,0.0332,0.1309,0.4498,0.0294,137900,2834.511,6.66,28,11.2,0.1368,0.4524,0,6e-4,0.143,0.2032
12700,"Barnstable Town, MA",10,9,15,14,9,7,13,12,494.0907,0.2045,0.2307,0.9671,0.5502,51.9419,0,0,0,0.23,428.7542,0.0022,0.8469,9,1,0.055,-0.0011,0.3553,0.122,0.0107,375000,2405.91,6.59,19.6,11.9,0.0689,0.4585,0.5253,0.0022,0.0819,0.3359
12940,"Baton Rouge, LA",6,5,7,7,4,4,4,4,174.3745,0.2703,0.0965,0.9489,0.4941,33.7581,60,0.1363,1,1.99,312.6415,0.0017,0.7033,27,0,0,0.0393,0.0916,0.0621,0.0163,168200,4704.0367,10.6344,30.7556,21.7111,0.1714,0.474,0.1014,0.0014,0.2062,0.2276
12980,"Battle Creek, MI",1,1,1,1,10,8,14,13,193.7195,0.2598,0.1367,0.9562,0.5162,54.4605,20,0,0,2.96,3557.3462,0.007,0,2,2,0.0223,0.007,0.0782,0.2788,0.0349,102600,4063.4491,7.89,30.3,9.2,0.1125,0.4444,0,0.0042,0.1677,0.1602
13020,"Bay City, MI",5,2,6,6,5,5,6,6,242.0916,0.2446,0.1468,0.9585,0.5089,33.7797,60,0,0,1.51,83.4802,0.0067,0,0,5,0.3483,-0.009,0.0537,0.5019,0.0358,96800,2703.2474,7.06,31,10.3,0.0974,0.4421,0,0.0022,0.1757,0.1418
13140,"Beaumont-Port Arthur, TX",1,1,1,1,1,1,1,1,123.3875,0.2644,0.1326,0.9665,0.462,20.999,80,0,0,3.94,262.0237,0.0031,0.1169,1,5,0.0074,-0.0116,0.0983,0.0906,0.0343,102900,4436.9886,8.83,29.025,19.825,0.1587,0.4798,0.0385,6e-4,0.2167,0.1436
13380,"Bellingham, WA",3,3,4,4,4,4,9,4,85.8457,0.2413,0.1163,0.9451,0.5528,87.4594,20,0,0,2.12,84.6023,0.0028,0.5459,0,0,0,0.1117,0.1278,0.2226,0.0123,299800,5135.6161,5.1,23.1,17,0.1422,0.4476,0,0.0014,0.125,0.2723
13460,"Bend-Redmond, OR",3,3,4,4,4,4,9,4,46.1246,0.2478,0.1308,0.9547,0.5302,42.798,10,0,0,0.66,97.7532,0,1.2851,1,0,0,0.2184,0.1647,0.0718,0.0056,298200,4249.2192,6.03,17.3,20.2,0.0929,0.4484,0,0,0.1164,0.2497
13740,"Billings, MT",3,3,4,4,4,4,9,4,25.2992,0.254,0.1359,0.953,0.5688,61.4932,50,0,0,1.56,692.7299,9e-4,2.7224,1,0,0,0.0615,0.066,0.0981,0.023,211200,4528.1977,7.105,25.95,20.85,0.1124,0.4582,0.0757,2e-4,0.1171,0.2608
13780,"Binghamton, NY",5,2,6,6,2,2,2,2,203.9278,0.2382,0.157,0.953,0.4863,74.6281,90,0,0,1.64,568.3713,8e-4,0.4857,14,6,0.4127,-9e-4,0.0885,0.5583,0.0173,113100,2451.1282,7.555,27.3,15.6,0.119,0.4557,0,0.0065,0.16,0.2204
13820,"Birmingham-Hoover, AL",5,2,10,6,5,5,6,6,202.2227,0.2502,0.1279,0.9497,0.4884,20.0017,100,0.0921,0,0.77,548.5078,0.0058,1.4687,4,5,0.3774,0.0324,0.0924,0.1471,0.0311,152200,4697.2433,9.08,31.8,16.2,0.1356,0.4802,0,2e-4,0.2124,0.2273
13900,"Bismarck, ND",3,3,4,4,4,4,9,4,19.4077,0.2598,0.1275,0.9507,0.5781,26.5088,10,0,1,0.69,388.7558,4e-4,1.6478,0,0,0,0.0507,0.0543,0.0728,0.0151,223600,2054.898,6.5733,30.1333,10.1333,0.0971,0.4432,0.0044,0,0.1454,0.2482
13980,"Blacksburg-Christiansburg-Radford, VA",7,6,8,8,1,1,1,1,116.2133,0.1839,0.115,0.9385,0.49,79.4733,0,0.5848,0,2.54,28.7907,0,0,11,0,0,0.0354,0.0756,0.0428,0.0165,168700,2450.4357,7.288,25.82,19.3,0.1913,0.4738,0.0552,0,0.2155,0.2439
14010,"Bloomington, IL",3,3,4,4,6,4,7,7,111.3673,0.2357,0.1034,0.9317,0.5398,75.7709,20,0,0,0.53,216.5421,0.0025,1.2874,0,0,0,0.0585,0.0556,0.2063,0.0246,158700,1259.2153,7.685,27.25,12.35,0.0955,0.4559,0,0,0.1011,0.3355
14020,"Bloomington, IN",7,6,8,8,6,4,7,7,187.9817,0.1929,0.0974,0.9098,0.5226,92.2245,30,0.6662,0,1.48,29.3659,0,0,3,0,0,0.0544,0.0909,0.0985,0.021,155300,3240.5927,7.125,27.85,20.05,0.1732,0.4981,0.16,0.005,0.1396,0.3414
14260,"Boise City, ID",6,5,7,7,4,4,4,4,46.3083,0.2843,0.0993,0.9468,0.5147,28.3886,40,0,1,1.13,1763.572,4e-4,2.891,3,0,0,0.1767,0.06,0.0797,0.0095,192600,3074.1526,6.706,27.06,20.36,0.0935,0.4579,0.0551,0,0.1414,0.255
14460,"Boston-Cambridge-Newton, MA-NH",9,8,14,13,3,3,3,3,1205.6957,0.2344,0.1261,0.9246,0.5364,97.6675,180,0.1132,1,0.84,2009.1068,0.0104,2.9959,64,6,0.2294,0.0061,0.0411,0.5347,0.0477,393500,2243.8879,7.3714,22.4143,11.7286,0.0853,0.4807,0,0.0087,0.133,0.3695
14500,"Boulder, CO",7,6,8,8,6,4,7,7,378.8379,0.2295,0.0778,0.9025,0.5996,93.2292,40,0.3568,0,1.24,563.456,0.0014,0,2,0,0,-0.0379,0.0435,0.0828,0.0105,423500,3699.6728,7.64,12.5,20.4,0.0949,0.4792,0,0.0027,0.072,0.5238
14540,"Bowling Green, KY",1,1,1,1,1,1,1,1,89.0639,0.2373,0.1145,0.9534,0.5138,38.6615,0,0,0,1.82,115.6297,0.0024,0,8,0,0,0.0811,0.1088,0.0931,0.0313,134200,2586.3841,8.065,31.025,19.35,0.1602,0.4674,0.0658,0,0.2562,0.1884
14740,"Bremerton-Silverdale, WA",4,4,5,5,2,2,5,5,553.7781,0.2676,0.1058,0.9598,0.5046,92.8168,0,0,0,0.17,91.6915,0,0,0,2,0.0108,0.0338,0.0672,0.2138,0.0171,277500,2909.4351,6.13,27.6,12.9,0.0875,0.4258,0,0.0162,0.0923,0.2533
14860,"Bridgeport-Stamford-Norwalk, CT",11,8,16,15,2,2,2,2,1373.7115,0.2563,0.1328,0.9508,0.5033,79.6577,110,0,0,1.24,2351.8997,0.0077,0,11,6,0.0912,0.0171,0.0449,0.3064,0.0323,417800,2222.908,7.28,17.9,13.4,0.069,0.5443,0,0.0031,0.1563,0.3985
15180,"Brownsville-Harlingen, TX",8,7,13,12,7,1,10,9,369.6895,0.338,0.1115,0.9805,0.3755,37.0767,40,0,0,0.69,28.7474,0.0069,1.3549,0,0,0,0.114,0.1871,0.0373,0.0288,82500,5086.643,7.15,25.4,33.6,0.3305,0.4899,0,0,0.4475,0.1336
15260,"Brunswick, GA",1,1,3,3,5,5,6,6,72.8224,0.2611,0.1345,0.9627,0.5093,26.6452,0,0,0,0.73,158.398,0.0014,0.3671,2,5,0.2912,0.0912,0.1787,0.1875,0.0226,136300,4485.2854,9.0367,28.8333,19.7667,0.1564,0.4954,0.0729,0.0029,0.2052,0.1967
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",2,2,2,2,2,2,2,2,725.3481,0.2434,0.1582,0.95,0.5084,75.3744,150,0.0871,0,1.37,880.749,0.0139,2.1217,13,6,0.5496,-0.0184,0.0838,0.5768,0.0312,135000,3039.4502,8.11,26.75,11.8,0.1188,0.4619,0,0.0038,0.1704,0.2321
15500,"Burlington, NC",1,1,1,1,1,1,1,1,320.9275,0.2382,0.1412,0.9558,0.4932,16.1791,0,0,0,1.75,136.9121,0,0,5,0,0,0.0651,0.0699,0.1169,0.0261,145500,4095.154,8.94,28.8,18.5,0.1114,0.4594,0,0,0.2345,0.1919
15540,"Burlington-South Burlington, VT",3,3,4,4,6,4,7,7,137.5162,0.2463,0.0987,0.9286,0.5682,82.6002,0,0,0,1.06,362.9376,0.002,3.3423,5,0,0,0.039,0.0815,0.3877,0.0252,261700,3161.0989,7.06,23.4333,13.7,0.0879,0.4488,0.0124,0.0013,0.1149,0.3484
15940,"Canton-Massillon, OH",5,2,6,6,5,5,6,6,414.1395,0.2487,0.1502,0.9625,0.5048,29.7743,100,0,0,2.02,613.7544,0.0051,0,4,6,0.3755,-0.0043,0.0623,0.4289,0.0291,126300,3691.3083,8.37,30.2,12.3,0.0935,0.4418,0,0.002,0.1681,0.1732
15980,"Cape Coral-Fort Myers, FL",12,10,17,16,9,7,15,12,623.4236,0.1959,0.2543,0.9671,0.4914,27.4974,20,0,0,0.22,147.0587,0.0045,6.6693,0,0,0,0.2589,0.2315,0.0023,0.0114,190200,3347.3927,8.16,24.9,27.9,0.0973,0.4786,0,0,0.1771,0.211
16180,"Carson City, NV",3,3,4,4,4,4,9,4,356.3253,0.2339,0.1494,0.9649,0.4859,25.1074,10,0,1,0.82,266.5374,0,0,2,0,0,0.0672,0.0522,0.0192,0.0104,217400,2588.332,7.63,23.7,20.1,0.1002,0.4509,0,0,0.1753,0.1847
16220,"Casper, WY",3,3,4,4,4,4,4,4,13.0266,0.26,0.1266,0.9566,0.5595,27.5647,30,0,0,0.3,2123.4883,2e-4,1.269,3,0,0,0.0509,0.1025,0.1255,0.0169,198600,4740.9971,7.2,25,12.1,0.1184,0.4325,0,2e-4,0.1174,0.2002
16300,"Cedar Rapids, IA",4,4,11,10,4,4,4,4,122.5996,0.2538,0.1288,0.9434,0.5585,47.9562,80,0,0,1.19,1366.9694,0.0035,2.0276,6,0,0,0.0423,0.0504,0.2207,0.0126,149400,3213.9607,6.2167,27.8333,10.4333,0.0663,0.4272,0,5e-4,0.1018,0.2491
16580,"Champaign-Urbana, IL",7,6,8,8,6,4,7,7,115.1969,0.2169,0.1083,0.9161,0.5307,98.386,40,0.4517,0,0.88,119.855,0.0016,0.5966,1,0,0,0.0529,0.0616,0.1353,0.0161,148600,2440.3794,7.3567,27.0333,16.7333,0.1451,0.4971,0,5e-4,0.0962,0.3454
16620,"Charleston, WV",5,2,10,6,5,5,6,6,130.3765,0.217,0.1607,0.9576,0.4517,48.4208,80,0,1,0.58,611.3185,0.0011,1.3844,0,5,0.4009,-0.0292,0.0877,0.2513,0.0337,105100,5584.1531,8.7867,32.8333,17.0333,0.1578,0.4719,0,0,0.2233,0.1863
16700,"Charleston-North Charleston, SC",6,5,7,7,4,4,4,4,211.3447,0.2574,0.1037,0.9394,0.4942,52.2058,120,0,0,0.97,180.1713,0.0067,1.792,22,0,0,0.0898,0.1074,0.1786,0.0219,207500,4330.5093,9.5567,30.0333,18.0333,0.1403,0.4712,0,7e-4,0.187,0.2503
16740,"Charlotte-Concord-Gastonia, NC-SC",6,5,12,11,3,3,3,3,373.6279,0.2545,0.1045,0.934,0.5172,44.5304,80,0,0,1,2066.9089,0.0052,7.2432,43,0,0,0.1262,0.0685,0.0398,0.0176,177000,3991.8973,8.983,28.6,17.06,0.095,0.4761,0,0.0021,0.2034,0.249
16820,"Charlottesville, VA",7,6,8,8,3,3,3,3,91.4931,0.2217,0.1228,0.931,0.5067,85.2221,0,0.4879,0,0.43,1960.8818,0,0.9666,64,0,0,0.0808,0.0906,0.1839,0.0121,267800,2392.9748,8.0767,26.9,18.7833,0.122,0.4727,0.0387,0.0013,0.1916,0.3562
16860,"Chattanooga, TN-GA",1,1,1,1,4,4,4,4,233.6458,0.2378,0.1347,0.9579,0.5029,31.3088,90,0,0,1.39,1475.191,0.0075,0.4992,3,3,0.0109,0.0483,0.0766,0.1336,0.029,152600,4627.2349,10.1633,29.2667,14.8167,0.1199,0.471,0,0.0014,0.2328,0.1945
16940,"Cheyenne, WY",3,3,9,9,4,4,9,4,31.9522,0.2576,0.1146,0.9523,0.4824,27.4761,20,0,1,1.95,625.5067,7e-4,0.1764,2,0,0,0.0505,0.0668,0.1516,0.0177,202800,3656.7443,9.4,24.2,14.3,0.091,0.4118,0,4e-4,0.1087,0.2345
16980,"Chicago-Naperville-Elgin, IL-IN-WI",2,2,2,2,2,2,2,2,1271.5903,0.269,0.1089,0.9339,0.5065,83.4475,150,0.0323,0,0.98,1761.1583,0.0192,4.8642,29,6,0.2556,0.0196,0.0526,0.38,0.0277,222600,1846.7165,7.2664,26.9286,14.8714,0.1047,0.483,0,0.0027,0.1888,0.2896
17020,"Chico, CA",3,3,4,4,4,4,9,4,128.1765,0.24,0.1578,0.9519,0.4578,64.1278,10,0,0,0.43,12.6964,0,0.0829,0,0,0,0.057,0.0697,0.097,0.0129,238200,3415.5677,5.7,25.1,16.3,0.1979,0.4868,0,0.0018,0.1774,0.2184
17140,"Cincinnati, OH-KY-IN",2,2,2,2,3,3,3,3,485.1136,0.2647,0.1169,0.9422,0.5299,53.945,160,0.0487,0,1.36,692.643,0.0073,5.4879,41,6,0.4108,0.0301,0.0645,0.4002,0.0292,158800,3595.2969,7.7873,29.3,14.5333,0.0953,0.4667,0.006,0.0014,0.1749,0.249
17300,"Clarksville, TN-KY",3,3,9,9,1,1,1,1,135.9361,0.2808,0.0894,0.9524,0.4128,42.0299,30,0,0,1.53,3.8379,0.0017,0,3,0,0,0.082,0.0888,0.0313,0.0226,144300,3139.2946,9.3233,29.6,16.5333,0.1171,0.4293,0,0,0.1873,0.1664
17420,"Cleveland, TN",1,1,1,1,1,1,1,1,141.3728,0.2351,0.1213,0.9625,0.4886,14.7746,0,0,0,2.54,14.7835,0.0026,0,1,0,0,0.0519,0.0783,0.0681,0.0256,146100,3511.562,9.24,29.45,15.95,0.1235,0.4668,0,0,0.2849,0.1455
17460,"Cleveland-Elyria, OH",2,2,2,2,2,2,2,2,1048.2397,0.2537,0.145,0.9446,0.5107,63.371,140,0.0474,0,1.29,1803.2875,0.0194,2.6186,11,6,0.5662,-0.017,0.0639,0.4927,0.0339,142400,3037.2226,7.55,28.16,12.86,0.1076,0.4826,0,0.0015,0.1701,0.2389
17660,"Coeur d'Alene, ID",3,3,4,4,4,4,9,4,96.4887,0.2714,0.1228,0.9646,0.5333,28.4889,0,0,0,0.61,59.6229,0,0,1,0,0,0.1591,0.1137,0.1357,0.0098,212900,3449.973,5.8,24,14.6,0.1047,0.4392,0,8e-4,0.127,0.1908
